Lot #,Reg #,ID,Name,ProS,HB,GM,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,Stay,Marb,YG,CW,RE,BF
1,4504871,162,LOOSLI ULTIMATUM 162,111,80,31,12,-1,63,103,0.25,1.79,28,6,17,6,18,0.47,0.17,22,0.15,0.07
2,4504701,102,LOOSLI SPARTACUS 102,80,48,32,21,-6.1,52,83,0.19,1.67,31,5,8,12,15,0.67,0.22,14,-0.3,0.04
3,4504745,123,LOOSLI ULTIMATUM 123,101,57,44,12,-1.3,79,124,0.29,2.41,30,12,15,5,16,0.68,0.17,36,0.19,0.05
4,4505023,1114,LOOSLI TRIAD 1114,127,89,38,11,-3.3,72,116,0.28,2.03,33,4,17,7,18,0.46,0.23,38,0.02,0.05
5,4504733,117,LOOSLI TRIAD 117,72,37,34,11,-0.8,77,131,0.33,1.98,28,9,12,8,12,0.32,0.11,31,0.21,0.03
6,4504755,129,LOOSLI SPARTACUS 129,69,31,38,11,-2.1,74,116,0.26,2.2,28,8,9,6,13,0.47,0.15,40,0.23,0.04
7,4504949,177,LOOSLI SUMMIT 177,99,44,56,8,0.1,81,131,0.32,2.37,32,11,12,4,16,0.64,0.05,39,0.34,0.01
8,4504725,113,LOOSLI TRIAD 113,111,68,43,14,-3.9,66,105,0.24,1.68,28,4,14,9,15,0.5,0.15,33,0.2,0.05
9,4504757,130,LOOSLI STILLWATER 130,132,52,79,14,-1.9,72,124,0.33,1.92,31,5,14,8,13,0.74,0.16,46,0.29,0.04
10,4504711,106,LOOSLI SPARTACUS 106,88,51,37,21,-6.7,56,87,0.2,1.67,31,5,5,12,16,0.73,0.2,16,-0.28,0.03
11,4504961,183,LOOSLI STILLWATER 183,125,62,63,13,0.6,77,123,0.29,1.96,30,4,8,7,18,0.71,0.04,37,0.42,0.02
12,4505005,1105,LOOSLI TRIAD 1105,76,58,18,14,-1.9,76,115,0.24,1.84,35,4,11,9,14,0.48,0.18,20,-0.02,0.05
13,4504985,195,LOOSLI TRIAD 195,106,68,38,17,-4.5,79,132,0.33,1.69,33,1,12,11,14,0.39,0.2,29,-0.03,0.04
14,4504697,100,LOOSLI SPARTACUS 100,88,34,54,20,-6.5,60,93,0.21,1.67,31,5,7,11,13,0.8,0.19,29,0.03,0.05
15,4504729,115,LOOSLI SPARTACUS 115,59,42,17,22,-8.5,62,94,0.2,1.85,31,5,11,12,12,0.52,0.18,15,-0.07,0.05
16,4505003,1104,LOOSLI SUMMIT 1104,88,59,30,9,-0.1,70,115,0.28,1.92,31,7,14,5,16,0.41,0.07,22,0,0.01
17,4504951,178,LOOSLI CAMBRIDGE 178,101,57,44,9,-0.4,83,127,0.27,2.04,33,5,18,4,14,0.5,0.08,43,0.38,0.02
18,4505069,1138,LOOSLI ULTIMATUM 1138,106,93,13,14,-4.2,59,94,0.22,2.26,33,7,16,8,21,0.43,0.2,20,-0.11,0.05
19,4505053,1130,LOOSLI STILLWATER 1130,175,94,82,10,0.4,87,146,0.37,2.06,34,6,14,6,20,0.63,0.14,62,0.56,0.04
20,4505057,1132,LOOSLI STILLWATER 1132,131,67,64,12,0.1,64,105,0.26,1.81,27,3,12,6,17,0.74,0.14,36,0.15,0.03
21,4504991,198,LOOSLI SUMMIT 198,102,87,15,12,-1.4,70,114,0.27,2.07,33,7,16,7,19,0.38,0.15,17,-0.09,0.03
22,4504993,199,LOOSLI TRIAD 199,116,80,37,12,-0.9,63,101,0.24,1.46,31,0,14,8,17,0.47,0.1,21,0.04,0.02
23,4504857,155,LOOSLI CAMBRIDGE 155,118,66,52,15,-4.5,71,122,0.32,2.25,36,9,17,9,15,0.51,0.03,34,0.37,0.02
24,4504723,112,LOOSLI TRIAD 112,136,91,45,14,-2.3,77,121,0.28,1.97,33,3,16,9,18,0.71,0.18,29,0.09,0.05
25,4504759,131,Loosli Spartacus 131,87,23,64,11,-0.4,91,147,0.35,1.88,31,5,9,6,10,0.65,0.16,44,0.33,0.05
26,4505051,1129,LOOSLI SILVER 1129,81,26,54,7,1.6,86,146,0.37,1.89,31,13,11,4,13,0.4,0.19,46,0.24,0.05
27,4504843,148,LOOSLI SPARTACUS 148,53,15,39,16,-4.6,72,113,0.26,2.15,32,9,11,8,9,0.64,0.21,32,-0.06,0.04
28,4504775,139,LOOSLI SPARTACUS 139,56,25,31,16,-4.4,71,110,0.25,1.75,31,5,11,8,10,0.52,0.19,24,-0.1,0.04
29,4504869,161,LOOSLI SPARTACUS 161,84,37,48,14,-3.5,75,120,0.28,2.03,32,5,6,8,14,0.52,0.16,42,0.32,0.05
30,4504779,141,LOOSLI TRIAD 141,100,76,24,9,-0.7,72,107,0.22,1.75,25,4,11,6,19,0.38,0.15,32,0.1,0.03
31,4505127,1168,LOOSLI TRIAD 1168,130,88,42,17,-5.2,64,105,0.25,1.85,32,2,12,11,19,0.47,0.26,39,0,0.05
32,4504975,190,LOOSLI SILVER 190,67,64,3,13,-3.4,56,86,0.19,1.59,36,2,15,7,15,0.29,0.14,10,-0.22,0.03
33,4505017,1111,LOOSLI ULTIMATUM 1111,92,79,13,14,-2.6,50,86,0.22,1.96,30,10,15,8,19,0.37,0.31,18,-0.37,0.06
34,4505007,1106,LOOSLI SHADE 1106,80,25,55,12,-4.1,72,118,0.29,1.6,34,11,9,7,13,0.6,0.08,28,0.03,0
35,4505015,1110,LOOSLI SILVER 1110,97,84,13,14,-4.2,59,86,0.17,1.65,28,2,13,8,19,0.4,0.33,28,-0.08,0.09
36,4504731,116,LOOSLI FULL BACK 116,70,68,2,13,-5.5,53,78,0.16,1.52,32,3,13,7,18,0.25,0.11,13,-0.1,0.02
37,4505009,1107,LOOSLI SUMMIT 1107,127,87,41,16,-3.8,61,99,0.24,2.28,34,13,18,9,19,0.64,0.04,24,0.23,0.02
38,4505061,1134,LOOSLI PROFITEER 1134,32,15,17,10,1.2,71,115,0.28,2.27,25,12,12,5,11,0.2,0.08,33,0.3,0.03
39,4504945,175,LOOSLI SPARTACUS 175,72,55,17,16,-2.8,83,130,0.29,2.53,27,11,12,8,15,0.4,0.17,30,0.01,0.03
40,4504973,189,LOOSLI SUMMIT 189,86,52,34,11,-2,64,100,0.23,1.53,29,3,14,5,15,0.59,0.09,14,-0.12,0.01
41,4504735,118,LOOSLI STILLWATER 118,151,99,51,15,-0.5,64,103,0.24,1.64,30,1,16,9,19,0.69,0.27,33,-0.14,0.05
42,4504743,122,LOOSLI TRIAD 122,115,76,39,17,-5,67,108,0.25,1.67,36,2,13,10,16,0.49,0.21,30,0.06,0.05
43,4504705,103,LOOSLI SPARTACUS 103,76,49,27,20,-6.3,52,80,0.17,1.67,31,5,6,11,16,0.63,0.07,8,-0.13,0.01
44,4504699,101,LOOSLI SPARTACUS 101,84,48,37,18,-3.5,66,106,0.25,1.67,31,5,9,10,14,0.5,0.22,28,-0.15,0.04
45,4504713,107,LOOSLI SPARTACUS 107,71,43,28,15,-2.1,66,101,0.22,1.81,31,6,13,7,13,0.5,0.2,27,0.07,0.06
46,4504753,128,LOOSLI SPARTACUS 128,77,23,54,14,-3.8,71,115,0.28,1.95,31,7,11,7,11,0.7,0.2,34,0.18,0.06
47,4504761,132,LOOSLI TRIAD 132,126,80,46,11,-3.8,60,98,0.24,1.61,32,4,15,7,18,0.57,0.09,24,0.16,0.03
48,4505077,1142,LOOSLI DRIVEN 1142,130,95,35,15,-1.9,62,103,0.26,1.89,32,9,17,8,21,0.53,0.12,19,-0.06,0.02
49,4504963,184,LOOSLI STILLWATER 184,119,56,63,12,-2.9,55,89,0.21,1.62,29,3,10,7,16,0.86,0.25,33,-0.03,0.06
50,4504749,126,LOOSLI ULTIMATUM 126,108,63,44,12,-1.6,56,97,0.26,2.03,28,12,17,7,17,0.55,0.21,30,0.09,0.06
51,4504741,121,LOOSLI STILLWATER 121,118,65,53,15,-2.6,47,73,0.16,1.21,29,1,14,8,16,0.68,0.14,26,0.05,0.04
52,4504707,104,LOOSLI TRIAD 104,122,97,25,18,-5.7,60,98,0.23,1.62,34,-2,13,11,19,0.45,0.23,20,-0.07,0.06
53,4504873,163,LOOSLI SUMMIT 163,58,45,13,13,-2.1,63,95,0.2,1.8,27,6,15,7,13,0.49,0.12,10,-0.04,0.04
54,4504751,127,LOOSLI SPARTACUS 127,68,37,31,11,-2.5,58,93,0.22,1.52,26,2,10,6,13,0.48,0.2,22,-0.11,0.05
55,4504999,1102,LOOSLI SUMMIT 1102,92,83,8,15,-2.5,64,100,0.22,2.13,37,7,13,8,20,0.37,0.1,16,-0.08,0.02
56,4504719,110,LOOSLI SPARTACUS 110,82,64,17,17,-5.2,66,103,0.23,1.92,31,5,12,9,16,0.39,0.2,23,0.05,0.06
57,4504737,119,LOOSLI SPARTACUS 119,72,30,42,9,-0.9,72,110,0.24,2.03,29,5,13,5,12,0.58,0.19,39,0.12,0.04
58,4504777,140,LOOSLI TRIAD 140,97,78,19,12,-2,71,107,0.22,1.79,37,3,15,8,17,0.51,0.19,18,-0.07,0.05
59,4504847,150,LOOSLI SPARTACUS 150,83,43,40,12,-3.2,66,98,0.2,1.88,30,5,12,6,13,0.85,0.1,17,0.11,0.04
60,4504765,134,LOOSLI ULTIMATUM 134,109,81,27,15,-1.6,66,109,0.27,2,34,6,15,9,18,0.4,0.21,27,-0.04,0.05
61,4504865,159,LOOSLI STILLWATER 159,151,102,49,15,-2.1,62,88,0.17,1.88,30,3,11,9,23,0.75,0.07,34,0.29,0.02
62,4504971,188,LOOSLI SUMMIT 188,94,74,20,12,1.8,82,136,0.33,1.98,32,9,16,6,17,0.36,0.17,20,0.1,0.06
63,4504987,196,LOOSLI SUMMIT 196,101,66,35,12,-0.8,72,117,0.28,1.68,27,5,13,6,17,0.5,0.17,21,0.03,0.05
64,4505045,1126,LOOSLI DRIVEN 1126,111,76,36,13,-1.1,66,102,0.23,1.82,33,9,18,7,17,0.58,0.17,26,0.01,0.04
65,4505147,1179,LOOSLI ULTIMATUM 1179,88,59,29,14,-0.1,75,120,0.28,2.44,33,12,17,8,14,0.48,0.19,33,0.03,0.04
66,4504781,142,LOOSLI ULTIMATUM 142,116,83,33,12,-1.9,53,89,0.23,1.72,26,1,18,6,18,0.45,0.14,21,0.03,0.04
67,4504981,193,LOOSLI TRIAD 193,146,100,45,15,-5.2,63,105,0.26,1.72,33,2,15,10,20,0.56,0.26,32,0.04,0.07
68,4505025,1115,LOOSLI PROFITEER 1115,63,52,12,12,-3.4,55,88,0.2,1.94,23,3,12,5,16,0.29,0.01,15,0.16,0.01
69,4505101,1154,LOOOSLI ULTIMATUM 1154,113,72,41,15,-1.2,67,108,0.26,1.66,27,6,14,8,17,0.58,0.19,24,-0.07,0.04
70,4505145,1178,LOOSLI PROFITEER 1178,63,74,-11,8,0.4,66,101,0.22,2.47,23,9,15,4,20,0.16,-0.02,14,0.2,0.01
71,4504977,191,LOOSLI CAMBRIDGE 191,98,58,40,8,-0.2,83,134,0.32,2.37,26,12,15,4,17,0.44,0.03,38,0.48,0.03
72,4505035,1120,LOOSLI MARKSMAN 1120,83,49,33,9,0.2,57,106,0.31,1.71,33,9,8,6,18,0.14,0.03,27,0.23,0.01
73,4505011,1108,LOOSLI PORTER 1108,107,56,51,14,-2.5,68,111,0.27,1.63,31,7,13,9,14,0.55,0.14,32,0.22,0.04
74,4504837,145,LOOSLI ULTIMATUM 145,99,77,22,14,-2.2,53,85,0.2,1.61,31,2,17,8,17,0.38,0.2,20,0.01,0.06
75,4504845,149,LOOSLI TRIAD 149,110,68,42,15,-5.2,64,99,0.22,1.63,29,4,10,10,17,0.66,0.19,23,-0.06,0.04
76,4505161,1186,LOOSLI TRIAD 1186,118,76,42,11,-0.5,80,126,0.29,1.66,30,3,12,9,17,0.48,0.22,37,0.21,0.07
77,4505093,1150,LOOSLI FRONTLINE 1150,111,66,45,15,-1.3,71,116,0.28,1.8,23,7,13,10,15,0.51,0,26,0.38,0.02
78,4504849,151,LOOSLI STILLWATER 151,149,83,66,14,-0.3,63,105,0.26,1.97,27,2,13,8,19,0.79,0.16,38,0.14,0.04
79,4505043,1125,LOOSLI FRONTLINE 1125,75,33,42,6,1.4,70,110,0.25,1.47,20,5,13,4,13,0.57,0.09,23,0.12,0.03
80,4505055,1131,LOOSLI STILLWATER 1131,146,95,51,20,-5.8,56,90,0.21,1.98,29,5,13,12,20,0.82,0.2,28,0,0.05
81,4505071,1139,LOOSLI FRONTLINE 1139,82,59,23,12,-2.3,64,92,0.18,1.63,20,2,13,8,15,0.34,0.03,29,0.44,0.04
82,4505073,1140,LOOSLI ULTIMATUM 1140,117,85,31,18,-3.7,56,90,0.21,1.74,29,4,19,10,16,0.68,0.27,15,-0.29,0.06
83,4505159,1185,LOOSLI PORTER 1185,123,93,31,14,-4.9,60,90,0.19,1.58,30,4,14,8,20,0.55,0.03,16,0.32,0.04
84,4504769,136,LOOSLI STILLWATER 136,142,90,51,15,-3.5,50,79,0.19,1.47,28,-2,15,9,19,0.77,0.15,20,-0.01,0.04
85,4505079,1143,LOOSLI SILVER 1143,81,38,43,6,1.1,82,137,0.34,1.78,37,11,11,3,16,0.31,0.26,46,-0.06,0.04
86,4504983,194,LOOSLI STILLWATER 194,175,100,75,11,0.3,69,116,0.3,1.96,27,2,13,6,22,0.84,0.23,43,0.09,0.05
87,4504763,133,LOOSLI ULTIMATUM 133,105,77,28,17,-6.5,45,75,0.19,1.73,29,6,17,10,17,0.64,0.31,14,-0.32,0.07
88,4505059,1133,LOOSLI ULTIMATUM 1133,107,76,31,12,-3.5,51,79,0.17,1.49,28,2,15,7,18,0.6,0.13,12,-0.08,0.03
89,4505115,1162,LOOSLI TRIAD 1162,108,65,43,16,-3.4,72,113,0.26,1.93,33,8,11,9,16,0.59,0.16,32,0.13,0.04
90,4505067,1137,LOOSLI FRONT ROW 1137,65,17,47,13,-1.8,61,109,0.3,1.6,33,8,9,7,11,0.15,0.07,46,0.23,0
91,4504739,120,LOOSLI TRIAD 120,123,79,44,15,-5.1,57,96,0.24,1.37,32,3,16,10,16,0.43,0.11,25,0.07,0.02
92,4505133,1172,LOOSLI STILLWATER 1172,149,71,78,14,0.2,69,115,0.29,1.73,32,1,15,7,16,0.88,0.11,38,0.33,0.04
93,4504979,192,LOOSLI SUMMIT 192,85,46,39,10,1.2,71,117,0.29,1.81,29,10,11,5,17,0.46,0.12,27,-0.06,0.01
94,4504989,197,LOOSLI SUMMIT 197,139,111,29,15,-2.3,71,109,0.24,2.28,32,9,15,9,23,0.46,0.2,38,0.16,0.05
95,4505099,1153,LOOSLI SILVER 1153,69,47,22,13,-1.9,68,108,0.25,1.43,33,4,9,7,15,0.24,0.11,25,0,0.02
96,4504709,105,LOOSLI TRIAD 105,134,104,30,17,-5.2,52,76,0.15,1.62,34,-3,16,11,19,0.76,0.24,16,-0.1,0.07
97,4505167,1189,LOOSLI PORTER 1189,89,45,44,19,-4.7,61,96,0.22,1.57,30,10,17,12,11,0.67,0.2,25,0.06,0.06
98,4505185,1200,LOOSLI PORTER 1200,133,80,53,17,-4.6,68,110,0.26,1.8,33,8,18,11,16,0.52,0.15,41,0.33,0.05
99,4505153,1182,LOOSLI PROFITEER 1182,80,59,21,14,-1.8,63,101,0.24,1.65,25,0,16,6,15,0.38,0.16,18,-0.11,0.04
100,4505027,1116,LOOSLI RIVERSIDE 1116,91,101,-10,18,-3,58,87,0.18,1.85,31,1,15,10,21,0.17,0.05,9,0.09,0.03
101,4505131,1171,LOOSLI PROFITEER 1171,49,42,7,11,-1.6,62,100,0.24,1.95,29,3,11,5,15,0.18,0.1,22,-0.01,0.02
102,4505113,1161,LOOSLI PROFITEER 1161,72,52,20,15,-4.1,65,104,0.25,1.91,27,2,16,8,12,0.38,0.11,19,0.05,0.03
103,4505047,1127,LOOSLI STILLWATER 1127,100,50,50,12,0.2,65,109,0.27,2.17,33,7,14,7,14,0.64,0.07,28,0.12,0.01
104,4505081,1144,LOOSLI SILVER 1144,60,52,8,9,-2.1,59,87,0.18,1.78,36,9,13,6,16,0.3,0.16,22,0.02,0.04
105,4504771,137,LOOSLI SPARTACUS 137,48,16,33,14,-5,62,105,0.26,1.64,25,10,9,9,10,0.45,0.11,17,0.1,0.04
106,4505137,1174,LOOSLI PORTER 1174,105,56,48,14,-2,68,117,0.31,1.7,31,7,14,9,14,0.42,0.18,35,0.22,0.06
107,4505033,1119,LOOSLI PORTER 1119,103,51,51,15,-3.4,71,118,0.29,2,30,12,13,10,14,0.5,0.11,39,0.37,0.04
108,4505091,1149,LOOSLI ULTIMATUM 1149,100,50,51,14,-2.2,58,101,0.27,1.85,28,10,15,8,14,0.53,0.12,29,0.12,0.03
109,4504965,185,LOOSLI STILLWATER 185,129,74,56,15,-3,59,91,0.2,1.72,30,0,12,8,17,0.83,0.11,28,0.19,0.04
110,4505107,1158,LOOSLI STILLWATER 1158,125,57,68,10,0,69,117,0.3,1.87,30,6,11,5,17,0.77,0.16,36,0.19,0.05
111,4505181,1198,LOOSLI PROFITEER 1198,105,101,4,13,-0.3,72,113,0.26,2.07,28,3,18,7,20,0.15,0.13,28,0.14,0.04
112,4504863,158,LOOSLI STILLWATER 158,123,64,59,14,-1.7,57,90,0.21,1.45,29,0,10,8,16,0.77,0.18,30,0.04,0.04
113,4505029,1117,LOOSLI SHADE 1117,117,67,50,19,-7.3,57,90,0.21,1.16,33,0,9,10,17,0.65,0.01,15,0.15,0.01
114,4505221,1191,LOOSLI FORTUNE 1191,83,62,21,11,-1.8,60,106,0.29,2.06,32,10,16,7,16,0.16,-0.08,20,0.55,0.02
115,4504943,174,LOOSLI SUMMIT 174,127,96,31,14,-4.2,60,98,0.24,1.68,30,6,12,7,23,0.59,0.21,15,-0.11,0.06
116,4505103,1156,LOOSLI STILLWATER 1156,154,88,66,14,1.1,72,117,0.28,1.9,32,5,12,8,20,0.64,0.07,44,0.26,0
117,4505175,1195,LOOSLI FORTUNE 1195,29,11,18,10,-0.9,66,116,0.31,2.22,28,15,8,6,12,0.11,-0.02,27,0.38,0.01