Lot #,Reg #,ID,Name,ProS,HB,GM,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,Stay,Marb,YG,CW,RE,BF
118,4516811,118,MISS LOOSLI SPARTACUS 118,77,44,33,11,-1.1,74,115,0.26,1.97,28,8,7,7,16,0.51,0.14,29,0.1,0.04
119,4516915,197,MISS LOOSLI CAMBRIDGE 197,96,65,31,11,0.7,74,117,0.27,2.09,31,6,13,6,17,0.43,0.1,30,0.19,0.03
120,4516853,120,MISS LOOSLI SPARTACUS 120,77,44,32,14,-4.5,64,102,0.24,1.7,22,4,8,8,14,0.43,0.12,26,0.09,0.03
121,4504895,155,MISS LOOSLI SPARTACUS 155,69,36,33,14,-2.7,58,94,0.23,1.63,29,5,9,8,13,0.48,0.14,21,-0.04,0.03
122,4516933,104,MISS LOOSLI SPARTACUS 104,81,46,35,13,-2.5,66,106,0.25,1.92,31,5,11,7,14,0.58,0.11,21,0.06,0.03
123,4504831,147,MISS LOOSLI SPARTACUS 147,77,37,40,11,-2.5,68,109,0.25,1.57,26,4,9,7,13,0.49,0.1,25,0.11,0.03
124,4517031,116,MISS LOOSLI BOURNE 116,94,50,44,15,-3.3,50,72,0.13,1.06,26,-14,10,9,11,0.41,0.09,37,0.14,0.01
125,4504883,149,MISS LOOSLI ULTIMATUM 149,102,71,32,10,-0.7,72,106,0.21,1.79,31,5,14,4,18,0.69,0.19,24,0.03,0.06
126,4517047,191,MISS LOOSLI TRIAD 191,120,84,35,14,-4.5,65,102,0.23,1.53,27,2,11,10,19,0.45,0.13,26,0.19,0.05
127,4516957,106,MISS LOOSLI SPARTACUS 106,72,51,21,21,-4.2,61,97,0.23,1.67,31,5,7,12,15,0.52,0.16,9,-0.18,0.04
128,4516899,110,MISS LOOSLI SPARTACUS 110,82,51,31,21,-7.1,55,83,0.18,1.67,31,5,6,12,16,0.58,0.05,16,0.07,0.02
129,4516857,115,MISS LOOSI BOURNE 115,109,67,42,16,-4.7,60,94,0.21,1.34,26,-2,16,7,15,0.58,0.1,20,0.12,0.04
130,4504829,146,MISS LOOSLI TRIAD 146,102,63,40,16,-4.9,65,104,0.24,1.57,27,3,11,10,15,0.48,0.19,29,0.09,0.05
131,4516867,1140,MISS LOOSLI PROFITEER 1140,75,44,31,9,1.3,69,115,0.29,2.08,22,10,12,5,16,0.3,0.08,31,0.27,0.03
132,4516935,1137,MISS LOOSLI PROFITEER 1137,97,56,41,12,-0.9,73,121,0.3,2.5,27,10,13,6,16,0.44,0.12,40,0.25,0.03
133,4504789,127,MISS LOOSLI TRIAD 127,127,73,54,16,-4.2,60,97,0.23,1.61,34,4,14,10,16,0.65,0.16,31,0.07,0.04
134,4504909,163,MISS LOOSLI TRIAD 163,114,80,35,18,-5.6,64,101,0.23,1.61,32,-1,11,11,17,0.47,0.17,27,0.02,0.04
135,4516837,1150,MISS LOOSLI PROFIT 1150,91,53,39,12,-0.7,64,105,0.26,1.55,27,7,12,7,16,0.5,0.07,19,0.05,0.02
136,4516833,119,MISS LOOSLI ULTIMATUM 119,99,71,28,11,-0.1,61,98,0.23,1.64,30,4,15,6,17,0.51,0.16,16,-0.09,0.04
137,4516851,1136,MISS LOOSLI FRONT ROW 1136,91,59,32,14,-1.3,57,96,0.25,1.6,29,5,12,7,17,0.27,0.08,27,0.07,0.01
138,4504913,165,MISS LOOSLI SPARTACUS 165,63,37,26,10,-0.2,76,114,0.24,1.73,28,4,10,6,13,0.52,0.16,22,-0.05,0.04
139,4504907,162,MISS LOOSLI SPARTACUS 162,83,42,41,18,-6.2,67,106,0.24,1.89,28,6,11,9,13,0.61,0.18,29,0.09,0.05
140,4516865,1180,MISS LOOSLI PROFITEER 1180,68,47,22,13,-1.1,69,112,0.27,2.23,26,8,13,5,15,0.28,0.04,28,0.29,0.02
141,4516863,1120,MISS LOOSLI ULTIMATUM 1120,96,57,39,11,0,61,104,0.27,1.74,31,6,14,6,16,0.54,0.17,20,-0.02,0.05
142,4516891,1179,MISS LOOSLI PROFITEER 1179,66,48,17,11,-0.3,62,99,0.23,2.1,27,4,14,5,15,0.4,0.1,18,0.07,0.03
143,4517003,100,MISS LOOSLI TRIAD 100,121,73,48,18,-5.9,67,111,0.27,2.09,32,7,13,11,17,0.6,0.17,34,0.05,0.03
144,4517001,121,MISS LOOSLI SPARTACUS 121,87,40,47,11,-1.1,68,114,0.29,1.87,28,11,8,8,15,0.51,0.19,33,0.07,0.04
145,4516929,176,MISS LOOSLI STILLWATER 176,124,55,69,13,-0.5,64,105,0.25,1.88,27,6,12,7,16,0.86,0.12,36,0.14,0.02
146,4516817,180,MISS LOOSLI SPARTACUS 180,76,47,29,12,-1.5,66,101,0.22,1.86,32,3,8,7,15,0.58,0.14,20,0,0.04
147,4516893,1153,MISS LOOSLI FRONTLINE 1153,86,50,36,13,-2.4,65,104,0.25,1.62,17,7,9,8,16,0.39,0.05,25,0.35,0.04
148,4504899,158,MISS LOOSLI SPARTACUS 158,81,33,47,12,-2.7,66,106,0.25,1.65,26,4,11,6,13,0.63,0.12,26,0.13,0.04
149,4517023,103,MISS LOOSLI BOURNE 103,93,43,51,15,-3.3,51,75,0.15,1.12,25,-12,10,9,10,0.45,0.09,39,0.19,0.01
150,4516973,1149,MISS LOOSLI TRIAD 1149,118,79,40,15,-3.4,65,105,0.25,1.74,35,3,13,9,17,0.5,0.2,30,-0.02,0.04
151,4516941,1176,MISS LOOSLI FRONTLINE 1176,98,54,44,14,-2.8,67,111,0.28,2.01,23,8,10,9,16,0.48,0.12,33,0.25,0.04
152,4504823,143,MISS LOOSLI STILLWATER 143,114,47,68,15,-2.7,62,101,0.25,1.75,24,1,10,8,14,0.84,0.12,33,0.2,0.03
153,4516819,1100,MISS LOOSLI STILLWATER 1100,133,71,62,13,-0.6,60,96,0.22,1.48,27,-2,11,8,17,0.73,0.07,30,0.17,0.01
154,4516997,1167,MISS LOOSLI SILVER 1167,83,49,34,12,-2.2,76,124,0.3,2.11,36,13,13,7,15,0.33,0.2,41,0.12,0.04
155,4504801,133,MISS LOOSLI SPARTACUS 133,80,45,35,15,-3.9,68,107,0.24,1.81,27,7,9,10,14,0.43,0.16,34,0.11,0.04
156,4504919,168,MISS LOOSLI SPARTACUS 168,78,45,33,17,-5.6,64,102,0.24,1.94,31,4,8,10,14,0.49,0.2,30,-0.03,0.04
157,4517019,178,LOOSLI TRIAD 178,111,77,34,17,-4.8,62,99,0.23,1.55,33,-2,12,10,16,0.47,0.19,25,0.01,0.05
158,4516911,188,MISS LOOSLI ULTIMATUM 188,110,80,30,20,-6.8,51,89,0.24,1.93,33,6,14,11,18,0.43,0.24,25,-0.17,0.05
159,4504811,137,MISS LOOSLI TRIAD 137,106,63,43,16,-5.1,62,99,0.23,1.45,24,1,11,10,15,0.57,0.13,23,0.15,0.05
160,4517049,194,MISS LOOSLI SUMMIT 194,80,65,15,12,-1.5,63,98,0.21,1.73,33,6,13,6,18,0.46,0.07,9,-0.03,0.02
161,4516839,192,MISS LOOSLI TRIAD 192,125,86,39,14,-3.2,61,94,0.21,1.1,28,-5,14,9,17,0.58,0.16,17,-0.05,0.04
162,4516943,181,MISS LOOSLI STILLWATER 181,139,69,70,14,-1.1,66,111,0.29,1.86,31,3,11,8,17,0.72,0.15,40,0.17,0.03
163,4516807,111,MISS LOOSLI STILLWATER 111,125,73,52,11,0,66,107,0.26,1.76,27,1,11,7,18,0.63,0.12,30,0.13,0.03
164,4517059,1130,MISS LOOSLI RIVERSIDE 1130,73,65,8,13,-0.9,66,110,0.28,2.11,32,6,14,7,16,0.25,0.14,17,0.02,0.05
165,4504795,130,MISS LOOSLI TRIAD 130,108,66,42,15,-3.8,64,102,0.24,1.41,33,2,13,9,15,0.52,0.18,26,0.01,0.04
166,4517005,182,MISS LOOSLI SPARTACUS 182,76,42,34,13,-2.6,70,113,0.27,1.91,24,5,8,8,14,0.44,0.19,31,0,0.04
167,4517037,113,MISS LOOSLI TRIAD 113,113,66,47,17,-6,61,94,0.21,1.33,31,0,12,11,15,0.66,0.14,23,-0.03,0.03
168,4516845,1154,MISS LOOSLI ULTIMATUM 1154,105,79,27,14,-1.7,70,111,0.26,1.95,29,8,15,8,18,0.45,0.18,26,0.02,0.05
169,4504821,142,MISS LOOSLI TRIAD 142,99,65,34,16,-5.7,63,97,0.22,1.52,35,1,13,10,15,0.46,0.19,28,0.05,0.05
170,4516989,1129,MISS LOOSLI PORTER 1129,96,44,51,14,-2.1,69,113,0.28,1.46,26,7,12,10,12,0.5,0.1,30,0.33,0.05
171,4517065,1139,MISS LOOSLI SILVER 1139,75,44,31,10,-0.8,66,107,0.26,1.5,36,8,14,6,14,0.36,0.19,26,-0.03,0.04
172,4516927,1141,MISS LOOSLI ULTIMATUM 1141,93,76,17,14,-2.2,62,103,0.26,1.98,33,7,14,8,18,0.37,0.22,19,-0.15,0.05
173,4516849,198,MISS LOOSLI SUMMIT 198,116,85,30,16,-3.4,56,91,0.22,1.85,31,5,14,9,19,0.55,0.15,17,-0.01,0.04
174,4504791,128,MISS LOOSLI TRIAD 128,114,70,44,19,-6.6,53,88,0.22,1.44,30,1,10,11,17,0.52,0.19,26,-0.06,0.04
175,4517051,1107,MISS LOOSLI PORTER 1107,97,50,47,14,-3.2,71,113,0.26,1.45,30,7,13,9,13,0.51,0.11,29,0.3,0.05
176,4516859,1143,MISS LOOSLI PROFITEER 1143,92,73,19,13,-1.6,61,95,0.21,1.85,25,1,14,7,17,0.4,0.11,20,0.06,0.03
177,4516813,1157,MISS LOOSLI STILLWATER 1157,127,73,53,14,-1.4,58,94,0.22,1.81,33,6,11,9,19,0.66,0.12,32,0.09,0.02
178,4516841,1158,MISS LOOSLI STILLWATER 1158,132,69,63,15,-2,63,102,0.24,1.51,26,0,10,9,17,0.73,0.09,30,0.18,0.03
179,4517035,1110,MISS LOOSLI TRIAD 1110,109,79,31,16,-4.4,64,99,0.21,1.49,35,1,12,10,17,0.46,0.18,25,0.01,0.05
180,4516827,1134,MISS LOOSLI TRIAD 1134,113,82,32,16,-3,56,88,0.2,1.14,27,-7,14,9,16,0.45,0.13,16,0,0.04
181,4504891,153,MISS LOOSLI SPARTACUS 153,77,30,47,12,-1.9,70,120,0.31,1.95,25,10,7,6,15,0.45,0.13,33,0.17,0.03
182,4517029,112,MISS LOOSLI TRIAD 112,114,75,39,17,-6.3,56,90,0.21,1.31,31,-3,12,10,16,0.5,0.22,25,-0.03,0.05
183,4516945,1170,MISS LOOSLI PORTER 1170,95,51,44,15,-2.8,63,103,0.25,1.44,33,6,12,9,14,0.42,0.14,30,0.22,0.05
184,4504807,135,MISS LOOSLI SPATACUS 135,77,36,41,17,-6.6,60,96,0.23,1.56,21,4,7,10,13,0.55,0.13,24,0.11,0.04
185,4504887,151,MISS LOOSLI SPARTACUS 151,77,41,36,14,-2.7,55,85,0.18,1.02,25,-4,9,8,13,0.55,0.09,12,-0.03,0.02
186,4516985,1155,MISS LOOSLI ULTIMATUM 1155,106,67,39,16,-4,59,99,0.25,1.78,28,7,13,9,17,0.54,0.2,24,-0.01,0.05
187,4516999,1165,MISS LOOSLI STILLWATER 1165,137,70,67,12,-0.2,72,119,0.3,1.85,30,5,13,7,17,0.78,0.17,37,0.2,0.05
188,4516805,1113,MISS LOOSLI STILLWATER 1113,138,89,49,16,-0.8,63,100,0.23,1.72,31,3,10,9,21,0.64,0.11,29,0.1,0.02
189,4516885,186,MISS LOOSLI STILLWATER 186,141,82,59,14,-1.6,59,96,0.23,1.62,24,-2,12,9,18,0.81,0.13,26,0.09,0.04
190,4516979,1108,MISS LOOSLI PORTER 1108,89,55,35,16,-3.2,66,107,0.26,1.56,28,8,14,10,14,0.35,0.15,30,0.2,0.05
191,4516963,1174,MISS LOOSLI SILVER 1174,78,56,22,10,-0.3,74,119,0.28,2.28,40,11,13,5,17,0.32,0.21,36,0.01,0.04
192,4516871,1117,MISS LOOSLI DESIGN 1117,117,91,26,12,-0.6,62,99,0.23,1.78,27,3,15,7,20,0.6,0.16,11,-0.11,0.04
193,4504901,159,MISS LOOSLI TRIAD 159,114,76,38,16,-4.2,60,95,0.22,1.41,32,-3,11,10,16,0.52,0.17,23,0,0.05
194,4516937,1124,MISS LOOSLI FRONTLINE 1124,85,54,31,12,-1.4,72,114,0.26,1.98,25,9,9,8,16,0.4,0.12,31,0.2,0.04
195,4504915,166,MISS LOOSLI PRECISION 166,85,66,19,15,-4.5,62,100,0.24,2.01,38,9,13,8,18,0.27,0.17,29,-0.02,0.03
196,4517009,1172,MISS LOOSLI FRONTLINE 1172,89,49,40,14,-2.8,65,103,0.24,1.75,25,10,10,9,15,0.54,0.06,24,0.28,0.04