Reg #,Sale Order,Animal ID,Name,Sex,Birth Date,ProS,HerdBuilder,GridMaster,CED,BW,WW,YW,ADG,Milk,ME,HPG,CEM,Stay,Marb,YG,CW,RE,BF
4838476,1,333,LOOSLI FOREMAN 333,B,02-02-2023,96,75,21,15,-3.2,72,118,0.29,29,9,15,7,18,0.38,0.15,22,0.01,0.04
4838552,2,372,LOOSLI FOREMAN 372,B,02-11-2023,97,56,41,16,-3.7,85,140,0.34,29,10,16,8,14,0.48,0.23,35,0.02,0.05
4838256,3,310,LOOSLI PERSEVERANCE 310,B,01-26-2023,66,53,12,16,-2.9,75,116,0.26,31,8,10,9,15,0.34,0.11,20,0.03,0.03
4838482,4,336,LOOSLI PERSEVERANCE 336,B,02-02-2023,68,68,0,15,-4.9,64,104,0.25,34,5,12,9,16,0.17,0.07,12,-0.09,0.01
4838536,5,364,LOOSLI FOREMAN 364,B,02-10-2023,122,63,59,17,-2.8,81,130,0.31,30,10,16,8,15,0.55,0.09,43,0.44,0.04
4838332,6,3135,LOOSLI ULTIMATUM 3135,B,03-09-2023,100,37,63,13,-3.3,76,135,0.37,35,5,14,7,11,0.38,0.17,44,0.16,0.03
4838544,7,3681,LOOSLI FOREMAN 3681,B,02-10-2023,101,48,54,13,-1.5,81,126,0.28,27,8,15,6,13,0.71,0.13,35,0.28,0.05
4838240,8,302,LOOSLI PROFITEER 302,B,01-23-2023,85,40,45,12,0,88,150,0.39,26,12,9,6,15,0.32,0.11,43,0.29,0.02
4838238,9,301,LOOSLI PROFITEER 301,B,01-22-2023,91,64,27,15,-0.7,80,131,0.32,30,13,13,8,17,0.34,0.11,30,0.12,0.02
4838246,10,305,LOOSLI COLLUSION 305,B,01-25-2023,137,72,65,12,1.9,83,133,0.32,31,5,14,8,16,0.71,0.04,32,0.21,0
4838586,11,389,LOOSLI PERSEVERANCE 389,B,02-17-2023,134,89,45,15,-3.5,63,101,0.24,34,7,13,9,20,0.66,0.08,22,0.26,0.04
4838498,12,344,LOOSLI AGENT 344,B,02-05-2023,124,97,27,15,-3.6,60,92,0.2,35,1,16,9,19,0.69,0.14,11,-0.06,0.04
4838528,13,359,LOOSLI PERSEVERANCE 359,B,02-09-2023,79,42,37,14,-1.8,77,126,0.31,23,8,10,9,13,0.42,0.09,25,0.22,0.04
4838570,14,381,LOOSLI AGENT 381,B,02-15-2023,104,73,31,17,-2.5,64,111,0.29,34,6,14,11,16,0.35,0.05,23,0.07,0.01
4838310,15,3125,LOOSLI COLLUSION 3125,B,03-03-2023,162,123,38,17,-2.9,76,120,0.28,29,10,13,10,25,0.61,0.12,23,0.05,0.03
4838384,16,316,LOOSLI PERSEVERANCE 316,B,01-29-2023,85,64,21,18,-5.2,60,89,0.18,33,10,12,11,16,0.54,0.05,15,0.22,0.04
4838360,17,3148,LOOSLI ULTIMATUM 3148,B,03-13-2023,110,76,33,13,-2.2,70,112,0.26,32,4,15,6,18,0.46,0.29,29,-0.3,0.04
4838292,18,3117,LOOSLI FOREMAN 3117,B,03-02-2023,111,79,32,19,-4.1,81,130,0.3,29,7,14,10,18,0.5,0.14,23,0.05,0.04
4838328,19,3133,LOOSLI PROFITEER 3133,B,03-07-2023,92,51,40,10,-1.2,71,121,0.31,28,10,11,5,17,0.29,0.06,44,0.23,0
4838576,20,384,LOOSLI PERSEVERANCE 384,B,02-16-2023,87,64,22,13,-1.2,80,126,0.29,32,7,12,8,16,0.13,0.1,44,0.28,0.02
4838502,21,346,LOOSLI COLLUSION 346,B,02-05-2023,132,80,52,16,0.1,73,114,0.26,28,2,14,9,17,0.7,0.07,22,0.07,0.01
4838508,22,349,LOOSLI COLLUSION 349,B,02-06-2023,133,75,57,17,-2.4,68,118,0.31,25,11,14,10,18,0.75,0.16,23,-0.09,0.03
4838546,23,369,LOOSLI FOREMAN 369,B,02-11-2023,73,34,40,9,1.1,84,141,0.36,21,17,15,4,14,0.27,0,38,0.46,0.01
4838454,24,323,LOOSLI COLLUSION 323,B,01-31-2023,136,84,52,16,-1.4,68,108,0.25,29,5,12,11,18,0.67,0.11,25,-0.09,0
4838272,25,3107,LOOSLI PERSERVERANCE 3107,B,02-24-2023,74,34,40,13,-1.2,68,116,0.3,35,8,13,7,12,0.45,0.15,26,-0.11,0.02
4838378,26,3156,LOOSLI FORTUNE 3156,B,03-16-2023,80,58,22,10,-0.5,75,130,0.35,32,11,12,6,17,0.22,0.03,27,0.3,0.02
4838526,27,358,LOOSLI PERSEVERANCE 358,B,02-09-2023,81,39,42,15,-3.6,68,112,0.27,25,9,10,10,13,0.43,0.07,28,0.23,0.02
4838242,28,303,LOOSLI COLLUSION 303,B,01-23-2023,110,81,28,20,-5.1,65,102,0.23,29,5,15,12,17,0.6,-0.03,2,0.13,0.01
4838320,29,313,LOOSLI MISSION 313,B,01-28-2023,112,64,47,13,-0.9,67,99,0.2,34,2,14,7,15,0.76,0.24,31,-0.03,0.05
4838466,30,329,LOOSLI PERSEVERANCE 329,B,02-01-2023,60,29,31,14,-2,75,118,0.27,27,11,11,8,11,0.47,0.18,29,0.03,0.04
4838584,31,388,LOOSLI COLLUSION 388,B,02-17-2023,129,76,53,15,1.1,83,134,0.31,28,4,12,9,17,0.61,0.03,23,0.13,0
4838478,32,334,LOOSLI PROFITEER 334,B,02-02-2023,132,61,71,9,-0.5,75,128,0.33,27,12,11,5,19,0.71,0.15,47,0.13,0.01
4838276,33,311,LOOSLI FOREMAN 311,B,01-27-2023,83,52,31,13,-4.1,56,89,0.2,27,11,15,6,16,0.59,0.17,23,0.12,0.06
4838294,34,3118,LOOSLI COLLUSION 3118,B,03-02-2023,167,107,60,19,-0.9,78,124,0.29,30,4,12,12,21,0.71,0.19,32,-0.11,0.02
4838554,35,373,LOOSLI ULTIMATUM 373,B,02-13-2023,61,72,-11,13,-3.9,55,86,0.19,31,2,14,7,17,0.21,0.26,11,-0.35,0.05
4838326,36,3132,LOOSLI AGENT 3132,B,03-07-2023,124,86,37,15,-2.3,71,126,0.34,36,6,14,9,18,0.29,0.05,25,0.13,0.01
4838484,37,337,LOOSLI SPARTACUS 337,B,02-02-2023,82,41,41,13,-1.7,75,123,0.3,27,4,12,7,12,0.47,0.16,31,0.2,0.05
4838468,38,330,LOOSLI BRENNIX 330,B,02-01-2023,73,30,43,11,0.7,80,130,0.31,25,5,13,6,10,0.47,0.14,31,0.09,0.03
4838540,39,366,LOOSLI COLLUSION 366,B,02-10-2023,145,93,52,13,-1.4,79,130,0.31,28,7,15,8,19,0.68,0.13,24,0.11,0.04
4838530,40,360,LOOSLI COLLUSION 360,B,02-09-2023,105,65,40,12,-0.5,72,114,0.26,28,9,11,7,18,0.6,0.05,18,0.19,0.03
4838388,41,31601,LOOSLI AGENT 31601,B,03-20-2023,93,62,31,9,1.6,75,125,0.31,33,5,15,5,16,0.38,0.11,20,-0.02,0.02
4838488,42,339,LOOSLI DELEGATE 339,B,02-02-2023,77,47,30,18,-3.6,59,98,0.25,32,10,10,11,14,0.54,0.1,15,-0.03,0.03
4838458,43,325,LOOSLI COLLUSION 325,B,01-31-2023,126,119,7,19,-4.6,59,93,0.21,27,4,14,11,23,0.51,0.11,-4,-0.37,0.02
4838460,44,326,LOOSLI COLLUSION 326,B,02-01-2023,155,90,65,16,-2.4,68,120,0.32,27,10,13,9,21,0.71,0.19,32,-0.02,0.03
4838404,45,317,LOOSLI COLLUSION 317,B,01-31-2023,136,66,70,16,-2.3,66,115,0.3,23,10,11,11,17,0.8,0.12,29,0.03,0.02
4838588,46,390,LOOSLI PROFITEER 390,B,02-17-2023,136,86,50,15,-2.4,70,113,0.27,30,6,12,9,20,0.48,0.03,37,0.4,0.02
4838424,47,318,LOOSLI PROPULSION 318,B,01-31-2023,133,89,44,13,-2.3,71,113,0.26,34,4,15,9,18,0.57,0.21,32,-0.05,0.04
4838506,48,348,LOOSLI PERSEVERANCE 348,B,02-06-2023,81,48,33,15,-2.9,64,113,0.3,33,13,9,9,16,0.54,0.27,21,-0.34,0.05
4838244,49,304,LOOSLI BRENNIX 304,B,01-25-2023,145,82,63,12,-0.4,68,113,0.28,32,2,15,7,17,0.74,0.16,31,0.08,0.04
4838398,50,3167,LOOSLI SPRINT 3167,B,03-24-2023,106,36,70,16,-1.2,90,144,0.34,31,8,14,10,9,0.65,0.08,40,0.24,0.01
4838490,51,340,LOOSLI MISSION 340,B,02-03-2023,111,74,38,15,-3.5,59,93,0.21,32,6,13,8,18,0.63,0.12,21,0.13,0.05
4838494,52,342,LOOSLI MISSION 342,B,02-03-2023,122,87,35,16,-3.4,58,94,0.23,32,-3,12,9,19,0.5,0.22,26,-0.09,0.05
4838390,53,3161,LOOSLI MISSION 3161,B,03-19-2023,115,69,46,13,-2.4,65,106,0.25,31,-3,12,7,16,0.58,0.27,33,-0.04,0.06
4838386,54,3160,LOOSLI PROFITEER 3160,B,03-19-2023,70,40,31,9,0.3,75,122,0.29,31,12,13,5,15,0.39,0.1,29,0.15,0.03
4838582,55,387,LOOSLI AGENT 387,B,02-17-2023,81,85,-4,14,-1.5,69,116,0.29,33,4,14,8,18,0.13,0.19,13,-0.25,0.04
4838340,56,3139,LOOSLI SUPREMACY 3139,B,03-10-2023,92,71,21,17,-5.3,60,95,0.22,33,9,16,9,17,0.57,0.12,8,-0.23,0.02
4838564,57,378,LOOSLI FOREMAN 378,B,02-15-2023,135,83,52,17,-2.7,75,121,0.29,25,6,15,8,18,0.76,0.09,23,0.06,0.02
4838560,58,376,LOOSLI FOREMAN 376,B,02-17-2023,86,69,17,17,-4.4,66,110,0.27,29,15,19,9,16,0.52,0.13,9,-0.1,0.04
4838308,59,3124,LOOSLI PERSEVERANCE 3124,B,03-03-2023,73,46,26,17,-4.9,66,101,0.22,35,7,13,11,12,0.61,0.11,12,-0.06,0.03
4838364,60,315,LOOSLI MISSION 315,B,01-28-2023,94,54,40,12,0,70,108,0.24,30,1,13,5,15,0.62,0.17,24,0.01,0.05
4838534,61,362,LOOSLI PERSEVERANCE 362,B,02-09-2023,109,90,19,20,-5.1,63,94,0.2,31,7,12,13,20,0.62,0.11,8,-0.19,0.02
4838548,62,370,LOOSLI PROPULSION 370,B,02-11-2023,101,63,38,6,3.5,83,128,0.28,33,3,15,5,15,0.48,0.11,36,0.23,0.03
4838282,63,3112,LOOSLI PERSEVERANCE 3112,B,02-26-2023,95,53,42,15,-1.3,75,121,0.29,36,7,13,9,14,0.35,0.07,37,0.33,0.02
4838480,64,335,LOOSLI PROFITEER 335,B,02-02-2023,77,64,13,13,-1.2,71,109,0.23,23,11,10,8,18,0.5,0.11,13,0.05,0.05
4838592,65,392,LOOSLI MISSION 392,B,02-18-2023,140,94,46,15,-3,63,101,0.24,28,1,12,9,20,0.83,0.2,12,-0.18,0.05
4838266,66,3104,LOOSLI FOREMAN 3104,B,02-23-2023,91,46,45,15,-0.7,95,155,0.37,29,6,15,7,11,0.56,0.13,25,0.07,0.03
4838248,67,306,LOOSLI COLLUSION 306,B,01-25-2023,139,111,28,16,-2.2,68,105,0.23,25,8,13,12,22,0.64,0.17,15,-0.31,0.02
4838342,68,314,LOOSLI ULTIMATUM 314,B,01-28-2023,123,82,41,10,-1,67,110,0.27,26,4,15,6,18,0.71,0.14,14,-0.01,0.05
4838274,69,3109,LOOSLI  COLLUSION 3109,B,02-25-2023,125,86,39,20,-3.1,64,107,0.27,30,5,10,13,19,0.58,0.12,11,-0.26,0.01
4838314,70,3127,LOOSLI PERSEVERANCE 3127,B,03-04-2023,98,65,32,11,-0.1,80,135,0.34,34,6,12,7,16,0.38,0.17,25,-0.02,0.04
4838280,71,3111,LOOSLI PROFITEER 3111,B,02-25-2023,59,39,20,10,-1.2,70,115,0.29,30,14,12,5,15,0.38,0.06,19,0.11,0.02
4838302,72,3121,LOOSLI ULTIMATUM 3121,B,03-03-2023,90,72,19,11,-0.7,65,107,0.26,32,4,14,5,18,0.43,0.14,8,-0.22,0.03
4838304,73,3122,LOOSLI ULTIMATUM 3122,B,03-03-2023,113,81,31,12,0.4,65,111,0.28,29,5,15,6,19,0.3,0.2,33,0.02,0.04
4838396,74,3166,LOOSLI ULTIMATUM 3166,B,03-24-2023,107,68,39,16,-2.6,70,127,0.36,33,9,15,8,17,0.48,0.3,23,-0.17,0.08
4838312,75,3126,LOOSLI PROFITEER 3126,B,03-03-2023,87,70,17,10,-1.8,70,115,0.28,22,14,11,5,21,0.23,0.14,35,0.2,0.04
4838572,76,382,LOOSLI COLLUSION 382,B,02-15-2023,170,101,68,15,-1,72,120,0.3,26,5,13,10,21,0.88,0.2,30,-0.03,0.04
4838606,77,399,LOOSLI PERSEVERANCE 399,B,02-21-2023,73,48,25,12,-2.1,76,122,0.29,33,10,10,7,15,0.45,0.13,17,0.01,0.04
4838578,78,385,LOOSLI FOREMAN 385,B,02-17-2023,86,44,41,10,-0.6,84,130,0.28,26,9,15,4,14,0.56,0.03,33,0.51,0.04
4838366,79,3150,LOOSLI SUPREMACY 3150,B,03-13-2023,52,39,13,13,0.3,82,128,0.29,28,18,13,8,14,0.27,0.12,30,0.06,0.02
4838362,80,3149,LOOSLI MISSION 3149,B,03-14-2023,102,59,43,11,-2.9,61,96,0.22,34,0,13,6,15,0.7,0.18,25,-0.02,0.04
4838372,81,3153,LOOSLI ULTIMATUM 3153,B,03-15-2023,81,55,26,10,-2.4,65,111,0.29,27,10,14,6,16,0.51,0.27,18,-0.25,0.06
4838542,82,368,LOOSLI AGENT 368,B,02-10-2023,80,43,36,14,-1.5,73,116,0.27,34,6,15,8,11,0.45,0.14,30,0.01,0.02
4838252,83,308,LOOSLI TRIAD 915 308,B,01-25-2023,133,78,56,15,-3.9,71,114,0.27,32,3,14,8,17,0.61,0.1,36,0.29,0.03
4838270,84,3106,LOOSLI ULTIMATUM 3106,B,02-24-2023,124,80,44,12,-1.4,64,112,0.3,28,7,15,6,19,0.49,0.29,30,0.01,0.08
4838444,85,319,LOOSLI COLLUSION 319,B,01-31-2023,122,83,39,22,-7.3,48,81,0.21,32,11,10,13,21,0.57,-0.04,7,0.24,0.02
4838500,86,345,LOOSLI DELEGATE 345,B,02-05-2023,65,69,-4,19,-4.9,51,77,0.17,32,1,9,11,17,0.39,0.16,-1,-0.37,0.03
4838566,87,379,LOOSLI DELEGATE 379,B,02-15-2023,36,25,11,12,-4.6,49,70,0.14,31,8,11,6,12,0.54,0.17,11,-0.23,0.04
4838418,88,3177,LOOSLI MISSION 3177,B,04-06-2023,77,18,59,7,1.3,79,128,0.3,30,-1,11,2,10,0.63,0.05,27,0.32,0.03
4838296,89,3119,LOOSLI AGENT 3119,B,03-02-2023,97,69,28,12,0.2,81,130,0.31,33,3,13,7,16,0.17,0.12,45,0.15,0.01
4838472,90,33140,LOOSLI AGENT 33140,B,03-27-2023,65,38,27,9,-1.8,58,97,0.24,27,7,13,6,13,0.35,-0.01,17,0.23,0.01
4838580,91,386,LOOSLI PERSEVERANCE 386,B,02-17-2023,107,73,34,18,-5.3,60,95,0.22,31,5,13,11,17,0.6,0.09,15,0.11,0.04
4838380,92,3157,LOOSLI PROFITEER 3157,B,03-17-2023,97,47,50,10,-0.5,66,111,0.28,23,6,12,5,15,0.53,0.17,30,0.01,0.03
4838348,93,3142,LOOSLI AGENT 3142,B,03-11-2023,124,107,16,15,-2.2,78,124,0.29,35,6,14,9,22,0.43,0.25,22,-0.34,0.04
4838518,94,354,LOOSLI PROPULSION 354,B,02-08-2023,119,85,34,14,-2.5,65,100,0.22,32,4,15,9,18,0.56,0.08,26,0.08,0.01
4838456,95,324,LOOSLI DELEGATE 324,B,01-31-2023,78,56,22,16,-3.2,63,99,0.22,27,4,9,8,16,0.48,0.1,9,-0.1,0.03
4838510,96,350,LOOSLI FOREMAN 350,B,02-07-2023,117,76,41,15,-4.3,64,107,0.27,25,9,18,7,18,0.65,0.19,24,0,0.05
4838346,97,3141,LOOSLI SUPREMACY 3141,B,03-11-2023,94,69,25,12,-2.5,70,115,0.28,20,8,12,7,18,0.33,0.11,23,0.13,0.04
4838374,98,3154,LOOSLI AGENT 3154,B,03-15-2023,109,80,29,17,-4.5,71,115,0.27,30,4,15,10,16,0.4,0.14,23,-0.05,0.03
4838370,99,3152,LOOSLI ULTIMATUM 3152,B,03-15-2023,96,52,44,11,-0.3,74,124,0.31,27,2,14,6,13,0.59,0.14,14,-0.02,0.04
4838556,100,374,LOOSLI FOREMAN 374,B,02-13-2023,87,45,42,15,-3.7,70,113,0.27,25,9,15,8,13,0.61,0.1,23,0.21,0.04
4838532,101,361,LOOSLI DELEGATE 361,B,02-09-2023,74,63,11,18,-5.9,52,80,0.17,29,8,12,10,17,0.57,0.08,-2,-0.13,0.03
4838288,102,3115,LOOSLI PROFITEER 3115,B,02-28-2023,90,77,13,12,-0.6,63,110,0.29,28,8,12,7,20,0.24,0.16,17,-0.07,0.04
4838402,103,3169,LOOSLI SPRINT 3169,B,03-24-2023,89,40,48,10,0.8,89,141,0.32,28,11,10,7,13,0.39,-0.01,38,0.38,0
4838430,104,3183,LOOSLI AGENT 3183,B,04-13-2023,68,61,7,15,-0.1,79,123,0.27,30,6,15,9,13,0.26,0.03,15,0.11,0.02
4838448,105,320,LOOSLI COLLUSION 320,B,01-31-2023,133,105,28,20,-4.4,57,87,0.19,26,4,13,12,22,0.48,0.15,20,-0.08,0.03
4838514,106,352,LOOSLI PROPULSION 352,B,02-07-2023,112,91,21,18,-6.4,63,94,0.2,31,1,16,12,16,0.44,0.09,18,0.05,0.03
4838558,107,375,LOOSLI PROPULSION 375,B,02-14-2023,133,92,41,12,-3.5,65,100,0.22,33,1,18,8,18,0.68,0.28,27,-0.04,0.08
4838434,108,3185,LOOSLI PROFITEER 3185,B,04-23-2023,81,76,6,13,-2.2,77,124,0.29,25,15,11,7,21,0.13,0.09,33,0.23,0.03
4838464,109,328,LOOSLI PROFITEER 328,B,02-01-2023,110,75,34,13,-2.6,70,108,0.24,27,8,13,6,20,0.67,0.15,23,0.05,0.05
4838354,110,3145,LOOSLI ULTIMATUM 3145,B,03-11-2023,92,74,18,16,-4.2,67,111,0.27,31,6,15,8,17,0.44,0.19,10,-0.24,0.04
4838352,111,3144,LOOSLI FORTUNE 3144,B,03-11-2023,71,66,6,12,-1,68,108,0.25,31,4,12,7,16,0.14,0.05,20,0.19,0.02
4838284,112,3113,LOOSLI SPRINT 3113,B,02-28-2023,94,58,36,14,-3.6,74,120,0.29,23,8,12,9,15,0.48,0.1,22,-0.07,0.01
4838300,113,3120,LOOSLI SPRINT 3120,B,03-02-2023,118,56,62,13,-1.7,75,130,0.34,29,11,14,8,14,0.59,0.24,42,0,0.04
4838344,114,3140,LOOSLI PROFITER 3140,B,03-06-2023,65,62,3,14,-0.4,73,116,0.26,31,10,12,8,17,0.15,0.05,24,0.17,0.02
4838336,115,3137,LOOSLI SPRINT 3137,B,03-09-2023,129,77,53,15,-3.8,74,115,0.25,28,5,14,10,16,0.69,0.18,26,-0.07,0.04
4838338,116,3138,LOOSLI DELEGATE 3138,B,03-09-2023,65,31,33,18,-5,57,95,0.24,23,9,9,11,12,0.4,0.2,27,0.03,0.05
4838260,117,3101,LOOSLI PERSEVERANCE 3101,B,02-22-2023,65,42,23,16,-1.4,67,113,0.29,30,10,11,11,12,0.2,0.1,26,0.1,0.02